a_vinID,a_make,a_model,a_type,a_year,a_condition,a_price,a_color,a_location
1,Ford,Explorer,SUV,2014,Used,22180,Black,20
2,Dodge,Grand Caravan,Mini-Van,2016,Used,22954,Black,15
3,Dodge,Grand Caravan,Mini-Van,2016,Used,16551,Red,3
4,Dodge,Dart,Coupe,2020,Used,16909,Gray,13
5,Chevrolet,Tahoe,SUV,2016,Used,16413,Yellow,4
6,Subaru,WRX STI,Coupe,2022,New,29404,Black,17
7,Chevrolet,Tahoe,SUV,2016,Used,20445,Blue,8
8,Subaru,WRX STI,Coupe,2022,New,31979,Green,14
9,Chevrolet,Colorado,Pickup,2018,Used,20315,Red,18
10,Honda,Accord,Sedan,2017,Used,20601,Red,8
11,Dodge,Durango,SUV,2020,Used,18199,Blue,8
12,Dodge,Dart,Coupe,2020,Used,20035,White,9
13,Mercedes,GLE,SUV,2020,Used,17847,Yellow,9
14,Chevrolet,Cruze,Sedan,2016,Used,21902,Gray,21
15,Subaru,Outback,4x4,2013,Used,20971,Black,22
16,Chevrolet,Tahoe,SUV,2016,Used,17363,Yellow,17
17,Chevrolet,Trailblazer,SUV,2021,Used,22145,Gray,14
18,Ford,Bronco,4x4,2021,Used,15890,Blue,5
19,Honda,Pilot,SUV,2014,Used,18793,Green,16
20,Toyota,4Runner,4x4,2013,Used,18418,Black,10
21,Honda,Odyssey,Mini-Van,2013,Used,23529,Red,11
22,Honda,Odyssey,Mini-Van,2013,Used,21398,Blue,2
23,Subaru,Outback,4x4,2013,Used,18603,Blue,17
24,Toyota,Prius,Sedan,2018,Used,15966,Blue,6
25,Ford,Mustang,Coupe,2023,New,32582,Blue,15
26,Honda,CR-V,SUV,2023,New,32156,Red,17
27,Dodge,Grand Caravan,Mini-Van,2016,Used,19056,White,12
28,Chevrolet,Colorado,Pickup,2018,Used,15665,Black,16
29,Toyota,4Runner,4x4,2013,Used,20079,Red,4
30,Subaru,WRX STI,Coupe,2022,New,34520,Blue,8
31,Honda,CR-V,SUV,2023,New,33801,Yellow,7
32,Chevrolet,Trailblazer,SUV,2021,Used,23399,Gray,6
33,Toyota,4Runner,4x4,2013,Used,17765,Black,5
34,Toyota,4Runner,4x4,2013,Used,18932,Green,3
35,Honda,Pilot,SUV,2014,Used,22292,Green,3
36,Mercedes,E-Class,Sedan,2020,Used,17612,Gray,13
37,Honda,CR-V,SUV,2023,New,29533,Blue,3
38,Ford,Edge,SUV,2021,Used,15734,Red,17
39,BMW,M8,Coupe,2018,Used,19441,Yellow,10
40,Subaru,WRX STI,Coupe,2022,New,33720,White,11
41,Dodge,Dart,Coupe,2020,Used,15767,Blue,15
42,Mercedes,E-Class,Sedan,2020,Used,17392,Green,15
43,Honda,Pilot,SUV,2014,Used,23508,Green,4
44,Subaru,Outback,4x4,2013,Used,19203,Black,13
45,Honda,Accord,Sedan,2017,Used,22513,Yellow,8
46,Ford,Explorer,SUV,2014,Used,17374,Yellow,10
47,Dodge,Grand Caravan,Mini-Van,2016,Used,16611,Gray,1
48,Dodge,Dart,Coupe,2020,Used,17998,Blue,20
49,Subaru,Outback,4x4,2013,Used,17966,Yellow,7
50,Dodge,Grand Caravan,Mini-Van,2016,Used,17711,Blue,10
51,Ford,Edge,SUV,2021,Used,21429,Black,11
52,Chevrolet,Tahoe,SUV,2016,Used,18802,Blue,16
53,BMW,M3,Sedan,2023,New,30613,Yellow,5
54,Chevrolet,Tahoe,SUV,2016,Used,18359,Yellow,19
55,BMW,M3,Sedan,2023,New,34996,Yellow,17
56,Chevrolet,Colorado,Pickup,2018,Used,20599,White,3
57,Mercedes,E-Class,Sedan,2020,Used,16498,Black,11
58,Dodge,Durango,SUV,2020,Used,22851,Yellow,14
59,Chevrolet,Colorado,Pickup,2018,Used,18834,Yellow,11
60,Dodge,Challenger,Coupe,2021,Used,18716,White,20
61,Dodge,Challenger,Coupe,2021,Used,22384,Gray,9
62,Chevrolet,Silverado,Pickup,2017,Used,19497,Green,12
63,Toyota,Prius,Sedan,2018,Used,23339,Yellow,17
64,Ford,Escape,SUV,2021,Used,23731,White,21
65,Toyota,Prius,Sedan,2018,Used,23868,Green,2
66,Chevrolet,Silverado,Pickup,2017,Used,16497,Black,5
67,Subaru,WRX STI,Coupe,2022,New,31172,Gray,2
68,Dodge,Challenger,Coupe,2021,Used,22561,Red,15
69,Mercedes,E-Class,Sedan,2020,Used,22618,Blue,17
70,Dodge,Challenger,Coupe,2021,Used,19802,Gray,12
71,Dodge,Grand Caravan,Mini-Van,2016,Used,23367,Black,13
72,Toyota,Prius,Sedan,2018,Used,18309,Black,7
73,Ford,Mustang,Coupe,2023,New,32717,Green,1
74,BMW,M3,Sedan,2023,New,28282,Red,11
75,Toyota,Prius,Sedan,2018,Used,23659,Blue,6
76,Subaru,Outback,4x4,2013,Used,23831,White,7
77,Chevrolet,Cruze,Sedan,2016,Used,21684,White,8
78,Chevrolet,Tahoe,SUV,2016,Used,16022,Yellow,5
79,Mercedes,GLE,SUV,2020,Used,15788,Blue,17
80,Chevrolet,Tahoe,SUV,2016,Used,19280,Yellow,19
81,Ford,Escape,SUV,2021,Used,20499,Green,7
82,Honda,Odyssey,Mini-Van,2013,Used,21140,Yellow,22
83,Ford,Explorer,SUV,2014,Used,17599,Black,7
84,Toyota,4Runner,4x4,2013,Used,23758,Blue,17
85,Honda,Pilot,SUV,2014,Used,19901,Yellow,17
86,Mercedes,E-Class,Sedan,2020,Used,19723,Gray,8
87,Chevrolet,Silverado,Pickup,2017,Used,15868,Gray,5
88,Mercedes,GLE,SUV,2020,Used,22389,White,4
89,Chevrolet,Trailblazer,SUV,2021,Used,22674,Yellow,10
90,Ford,Edge,SUV,2021,Used,15837,White,4
91,BMW,M3,Sedan,2023,New,31791,Red,12
92,Chevrolet,Tahoe,SUV,2016,Used,20958,White,2
93,Mercedes,E-Class,Sedan,2020,Used,21970,Yellow,16
94,Honda,Civic,Sedan,2017,Used,23872,Blue,16
95,Toyota,Prius,Sedan,2018,Used,17170,Yellow,18
96,Chevrolet,Cruze,Sedan,2016,Used,15595,Red,7
97,Honda,Pilot,SUV,2014,Used,20223,Black,8
98,Mercedes,GLE,SUV,2020,Used,18800,Green,16
99,BMW,M3,Sedan,2023,New,32478,Green,2
100,Honda,Accord,Sedan,2017,Used,22985,White,19
101,Ford,Bronco,4x4,2021,Used,23841,Black,9
102,Toyota,Prius,Sedan,2018,Used,17262,Blue,6
103,Mercedes,GLE,SUV,2020,Used,18073,Gray,8
104,Chevrolet,Silverado,Pickup,2017,Used,17258,Yellow,18
105,Ford,Explorer,SUV,2014,Used,17495,Green,5
106,Mercedes,E-Class,Sedan,2020,Used,19793,Green,22
107,Ford,Edge,SUV,2021,Used,21140,Gray,7
108,Subaru,Outback,4x4,2013,Used,17195,Gray,1
109,Honda,Pilot,SUV,2014,Used,23453,Green,1
110,Chevrolet,Trailblazer,SUV,2021,Used,19598,Black,7
111,Chevrolet,Colorado,Pickup,2018,Used,20128,Yellow,3
112,Honda,CR-V,SUV,2023,New,31991,Gray,21
113,Toyota,Corolla,Sedan,2018,Used,16749,Green,14
114,Ford,Edge,SUV,2021,Used,19304,Gray,9
115,Chevrolet,Cruze,Sedan,2016,Used,21775,Red,15
116,Ford,Bronco,4x4,2021,Used,21145,Red,9
117,Honda,Civic,Sedan,2017,Used,21011,Gray,12
118,Honda,Civic,Sedan,2017,Used,21543,Yellow,12
119,Chevrolet,Cruze,Sedan,2016,Used,17704,Red,3
120,Honda,CR-V,SUV,2023,New,32758,Gray,3
121,Chevrolet,Tahoe,SUV,2016,Used,15725,Black,10
122,Toyota,Corolla,Sedan,2018,Used,20943,White,8
123,Ford,Edge,SUV,2021,Used,22783,Black,21
124,Dodge,Grand Caravan,Mini-Van,2016,Used,21252,Gray,15
125,Ford,Mustang,Coupe,2023,New,30085,Blue,4
126,Toyota,Prius,Sedan,2018,Used,21865,Green,13
127,BMW,M8,Coupe,2018,Used,16810,Red,11
128,Dodge,Charger,Sedan,2018,Used,20033,Gray,18
129,Dodge,Dart,Coupe,2020,Used,23507,Red,13
130,Ford,Escape,SUV,2021,Used,19335,Red,18
131,Ford,Edge,SUV,2021,Used,16526,Red,12
132,Dodge,Charger,Sedan,2018,Used,22904,Yellow,21
133,Chevrolet,Tahoe,SUV,2016,Used,17758,Red,9
134,Chevrolet,Tahoe,SUV,2016,Used,21570,Gray,16
135,Toyota,Corolla,Sedan,2018,Used,16838,Gray,2
136,Mercedes,GLE,SUV,2020,Used,17558,Red,10
137,Mercedes,E-Class,Sedan,2020,Used,23667,Blue,13
138,Honda,Civic,Sedan,2017,Used,18779,Blue,10
139,Subaru,WRX STI,Coupe,2022,New,28314,Yellow,15
140,BMW,M3,Sedan,2023,New,32441,Blue,13
141,Toyota,Corolla,Sedan,2018,Used,17187,Red,7
142,Honda,CR-V,SUV,2023,New,33397,Blue,3
143,Toyota,Corolla,Sedan,2018,Used,17280,Black,3
144,Chevrolet,Colorado,Pickup,2018,Used,22105,Blue,6
145,Chevrolet,Cruze,Sedan,2016,Used,23272,Gray,10
146,Chevrolet,Trailblazer,SUV,2021,Used,22104,Blue,18
147,Ford,Escape,SUV,2021,Used,23082,Black,5
148,Chevrolet,Colorado,Pickup,2018,Used,17437,White,12
149,Subaru,Outback,4x4,2013,Used,21253,Yellow,10
150,Toyota,Prius,Sedan,2018,Used,20800,Gray,20
151,Toyota,Prius,Sedan,2018,Used,19796,White,4
152,Chevrolet,Tahoe,SUV,2016,Used,19560,Red,1
153,Chevrolet,Silverado,Pickup,2017,Used,19622,White,19
154,Honda,Pilot,SUV,2014,Used,17229,Yellow,15
155,Honda,Pilot,SUV,2014,Used,23327,Yellow,18
156,Ford,Edge,SUV,2021,Used,16726,Gray,15
157,Mercedes,E-Class,Sedan,2020,Used,21264,Yellow,11
158,Ford,Bronco,4x4,2021,Used,15847,Green,20
159,BMW,M8,Coupe,2018,Used,23290,Black,18
160,Chevrolet,Trailblazer,SUV,2021,Used,19089,Gray,20
161,Chevrolet,Silverado,Pickup,2017,Used,23529,Red,12
162,Mercedes,GLE,SUV,2020,Used,17518,Gray,7
163,Dodge,Challenger,Coupe,2021,Used,23683,Black,3
164,BMW,M3,Sedan,2023,New,34158,Black,3
165,Chevrolet,Trailblazer,SUV,2021,Used,23469,White,14
166,Dodge,Challenger,Coupe,2021,Used,19535,Yellow,6
167,Toyota,Prius,Sedan,2018,Used,17276,Red,5
168,Mercedes,GLE,SUV,2020,Used,17973,Blue,14
169,Chevrolet,Tahoe,SUV,2016,Used,17681,White,17
170,Chevrolet,Trailblazer,SUV,2021,Used,23992,Gray,7
171,Ford,Edge,SUV,2021,Used,18083,Yellow,22
172,BMW,M8,Coupe,2018,Used,16319,Red,3
173,Mercedes,E-Class,Sedan,2020,Used,20201,Gray,5
174,Dodge,Grand Caravan,Mini-Van,2016,Used,23823,Yellow,19
175,Honda,Accord,Sedan,2017,Used,22888,Red,21
176,BMW,X3,SUV,2018,Used,21358,Yellow,15
177,Ford,Explorer,SUV,2014,Used,22168,White,11
178,Honda,CR-V,SUV,2023,New,29702,Black,5
179,Chevrolet,Colorado,Pickup,2018,Used,20558,Blue,12
180,Mercedes,E-Class,Sedan,2020,Used,22395,Gray,16
181,Mercedes,GLE,SUV,2020,Used,16282,Yellow,13
182,Dodge,Charger,Sedan,2018,Used,23073,Red,22
183,Toyota,Corolla,Sedan,2018,Used,21700,Blue,17
184,Subaru,WRX STI,Coupe,2022,New,31206,Black,15
185,Dodge,Challenger,Coupe,2021,Used,15758,Red,2
186,Subaru,Outback,4x4,2013,Used,21832,Green,11
187,Mercedes,GLE,SUV,2020,Used,22943,Blue,2
188,BMW,M3,Sedan,2023,New,32185,White,1
189,Ford,Bronco,4x4,2021,Used,16425,White,7
190,Dodge,Dart,Coupe,2020,Used,22436,Green,16
191,Ford,Bronco,4x4,2021,Used,15904,Green,13
192,Dodge,Grand Caravan,Mini-Van,2016,Used,17755,Yellow,6
193,BMW,X3,SUV,2018,Used,22140,Red,5
194,Honda,CR-V,SUV,2023,New,33604,White,16
195,Toyota,Prius,Sedan,2018,Used,22036,Black,5
196,Mercedes,GLE,SUV,2020,Used,22004,White,8
197,Dodge,Challenger,Coupe,2021,Used,20015,Blue,18
198,BMW,X3,SUV,2018,Used,19863,Red,22
199,Chevrolet,Cruze,Sedan,2016,Used,23446,Red,20
200,Toyota,Corolla,Sedan,2018,Used,19490,White,15
201,Honda,Pilot,SUV,2014,Used,22797,Blue,4
202,Chevrolet,Colorado,Pickup,2018,Used,23918,Black,5
203,Dodge,Challenger,Coupe,2021,Used,21173,White,3
204,Ford,Explorer,SUV,2014,Used,16492,White,2
